seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag,csvFlag,legalStatus
1,S100UKYJ,E01428,79390.0,9240001003119.0,株式会社研創,,10.0,043A00,160.0,2024-04-01,2025-03-31,2024-11-01 09:00,半期報告書－第54期(2024/04/01－2025/03/31),,,,,,,0,0,0,1,1,0,0,1,1
2,S100ULJ6,E02174,72560.0,5021001006269.0,河西工業株式会社,,10.0,053001,190.0,,,2024-11-01 09:00,訂正臨時報告書,,,,第19条第2項第2号,S100TDNW,,0,0,0,1,1,0,0,1,1
3,S100ULUA,E06458,,6010001024529.0,ドイチェ・アセット・マネジメント株式会社,G06904,30.0,995000,180.0,,,2024-11-01 09:00,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
4,S100UKYM,E01428,79390.0,9240001003119.0,株式会社研創,,10.0,042000,135.0,,,2024-11-01 09:00,確認書,,,,,,,0,0,0,0,1,0,0,0,1
5,S100UKE0,E12566,,2010001066780.0,イーストスプリング・インベストメンツ株式会社,G11694,30.0,995000,180.0,,,2024-11-01 09:01,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
6,S100UFYE,E12460,,7010001054021.0,野村アセットマネジメント株式会社,G15175,30.0,10A000,160.0,2024-02-29,2025-02-12,2024-11-01 09:01,半期報告書（内国投資信託受益証券）－第1期(2024/02/29－2025/02/12),,,,,,,0,0,0,1,1,0,0,1,1
7,S100UGT9,E12460,,7010001054021.0,野村アセットマネジメント株式会社,G02351,30.0,04A000,30.0,,,2024-11-01 09:01,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
8,S100UFCY,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G11047,30.0,04A000,30.0,,,2024-11-01 09:02,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
9,S100UFCZ,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G11047,30.0,07A000,120.0,2024-02-06,2024-08-05,2024-11-01 09:03,有価証券報告書（内国投資信託受益証券）－第42期(2024/02/06－2024/08/05),,,,,,,0,0,0,1,1,1,0,1,1
10,S100UD19,E12430,,8010401072159.0,日興アセットマネジメント株式会社,G01698,30.0,10A000,160.0,2024-02-02,2025-02-03,2024-11-01 09:03,半期報告書（内国投資信託受益証券）－第31期(2024/02/02－2025/02/03),,,,,,,0,0,0,1,1,0,0,1,1
11,S100UL61,E26704,,6010001141324.0,カレラアセットマネジメント株式会社,G14780,30.0,995000,180.0,,,2024-11-01 09:03,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
12,S100ULF5,E14235,,9010001132378.0,ＴＯＲＡＮＯＴＥＣ投信投資顧問株式会社,G12504,30.0,04A001,40.0,,,2024-11-01 09:03,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100TL9G,,0,0,0,1,1,0,0,1,1
13,S100ULKD,E27917,,3010001124760.0,ファイブスター投信投資顧問株式会社,G11734,30.0,995000,180.0,,,2024-11-01 09:04,臨時報告書（内国特定有価証券）,,,,第29条第2項第4号,,,0,0,0,1,1,0,0,1,1
14,S100UKJ3,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G01754,30.0,04A000,30.0,,,2024-11-01 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
15,S100UIGY,E12422,,4010001046310.0,しんきんアセットマネジメント投信株式会社,G03385,30.0,07A000,120.0,2023-08-08,2024-08-06,2024-11-01 09:04,有価証券報告書（内国投資信託受益証券）－第22期(2023/08/08－2024/08/06),,,,,,,0,0,0,1,1,1,0,1,1
16,S100UD18,E12430,,8010401072159.0,日興アセットマネジメント株式会社,G01698,30.0,04A000,30.0,,,2024-11-01 09:04,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
17,S100UH88,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G12472,30.0,10A000,160.0,2024-02-06,2025-02-05,2024-11-01 09:04,半期報告書（内国投資信託受益証券）－第8期(2024/02/06－2025/02/05),,,,,,,0,0,0,1,1,0,0,1,1
18,S100UJVC,E06748,,2010001049257.0,大和アセットマネジメント株式会社,G10800,30.0,07A000,120.0,2024-02-09,2024-08-08,2024-11-01 09:05,有価証券報告書（内国投資信託受益証券）－第19期(2024/02/09－2024/08/08),,,,,,,0,0,0,1,1,1,0,1,1
19,S100UFLS,E11518,,9010001034450.0,三菱ＵＦＪアセットマネジメント株式会社,G11054,30.0,04A000,30.0,,,2024-11-01 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
20,S100UD1A,E12430,,8010401072159.0,日興アセットマネジメント株式会社,G01722,30.0,04A000,30.0,,,2024-11-01 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0,1,1
21,S100ULF4,E14235,,9010001132378.0,ＴＯＲＡＮＯＴＥＣ投信投資顧問株式会社,G12503,30.0,04A001,40.0,,,2024-11-01 09:05,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100TL9C,,0,0,0,1,1,0,0,1,1
